,bitcoin,ethereum,xrp,bitcoincash,eos,stellar
2019-01-05 16:54:15.315612,68.0,6.0,2.0,0.0,3.0,19.0
2019-01-05 16:58:48.254758,129.0,11.0,9.0,0.0,6.0,37.0
2019-01-05 17:03:20.046565,246.0,29.0,14.0,3.0,7.0,50.0
2019-01-05 17:07:52.169152,301.0,36.0,18.0,3.0,9.0,63.0
2019-01-05 17:12:34.937366,359.0,45.0,22.0,3.0,12.0,74.0
2019-01-05 17:17:06.293226,401.0,52.0,26.0,4.0,12.0,83.0
2019-01-05 17:21:38.373656,459.0,59.0,32.0,4.0,14.0,93.0
2019-01-05 17:26:09.957132,501.0,65.0,42.0,5.0,15.0,99.0
2019-01-05 17:30:41.256312,563.0,76.0,44.0,5.0,15.0,106.0
2019-01-05 17:35:13.521350,617.0,82.0,49.0,5.0,18.0,120.0
2019-01-05 17:39:44.797606,679.0,86.0,56.0,6.0,20.0,127.0
2019-01-05 17:44:16.732202,719.0,91.0,61.0,6.0,23.0,134.0
2019-01-05 17:48:48.094690,771.0,96.0,69.0,6.0,28.0,144.0
2019-01-05 17:53:19.454396,818.0,100.0,72.0,7.0,29.0,156.0
2019-01-05 17:57:50.926337,863.0,108.0,80.0,7.0,31.0,168.0
2019-01-05 18:02:22.629507,934.0,124.0,84.0,10.0,34.0,180.0
2019-01-05 18:06:53.910699,986.0,129.0,103.0,10.0,36.0,195.0
2019-01-05 18:11:25.635214,1035.0,137.0,109.0,10.0,37.0,205.0
2019-01-05 18:15:57.842281,1081.0,145.0,115.0,13.0,38.0,212.0
2019-01-05 18:20:29.167895,1130.0,150.0,122.0,13.0,39.0,221.0
2019-01-05 18:25:00.906784,1157.0,154.0,125.0,13.0,40.0,236.0
2019-01-05 18:29:33.171233,1199.0,159.0,136.0,13.0,42.0,246.0
2019-01-05 18:34:04.558522,1253.0,165.0,146.0,14.0,43.0,259.0
2019-01-05 18:38:36.984910,1303.0,169.0,151.0,14.0,44.0,265.0
2019-01-05 18:43:08.729404,1349.0,177.0,156.0,14.0,47.0,271.0
2019-01-05 18:47:41.067444,1408.0,181.0,164.0,14.0,49.0,284.0
2019-01-05 18:52:12.832791,1453.0,185.0,169.0,14.0,52.0,295.0
2019-01-05 18:56:45.030982,1492.0,188.0,180.0,15.0,54.0,310.0
2019-01-05 19:01:18.480552,1562.0,197.0,188.0,15.0,54.0,327.0
2019-01-05 19:05:52.181413,1611.0,208.0,192.0,16.0,58.0,334.0
2019-01-05 19:10:23.449327,1651.0,214.0,196.0,16.0,62.0,343.0
2019-01-05 19:14:54.756663,1697.0,220.0,201.0,16.0,67.0,354.0
2019-01-05 19:19:26.116921,1745.0,224.0,205.0,16.0,68.0,370.0
2019-01-05 19:23:57.512059,1780.0,235.0,213.0,16.0,68.0,383.0
2019-01-05 19:28:29.631917,1813.0,241.0,216.0,16.0,70.0,390.0
2019-01-05 19:33:00.788422,1857.0,244.0,223.0,16.0,72.0,398.0
2019-01-05 19:37:32.375797,1889.0,249.0,232.0,16.0,74.0,405.0
2019-01-05 19:42:04.098378,1927.0,253.0,236.0,17.0,77.0,413.0
2019-01-05 19:46:36.245674,1964.0,260.0,247.0,18.0,81.0,430.0
2019-01-05 19:51:08.365917,2101.0,268.0,254.0,18.0,81.0,438.0
2019-01-05 19:55:40.407715,2151.0,275.0,262.0,20.0,81.0,447.0
2019-01-05 20:00:11.707349,2205.0,282.0,266.0,20.0,83.0,456.0
2019-01-05 20:04:43.511476,2274.0,296.0,292.0,22.0,88.0,462.0
2019-01-05 20:09:15.706597,2320.0,301.0,300.0,23.0,91.0,466.0
2019-01-05 20:13:47.048004,2365.0,310.0,306.0,23.0,92.0,476.0
2019-01-05 20:18:18.374328,2401.0,315.0,310.0,23.0,93.0,483.0
2019-01-05 20:22:50.023230,2437.0,317.0,312.0,23.0,94.0,487.0
2019-01-05 20:27:21.178519,2483.0,323.0,319.0,24.0,95.0,500.0
2019-01-05 20:31:53.376107,2523.0,325.0,331.0,24.0,97.0,506.0
2019-01-05 20:36:25.547093,2555.0,327.0,340.0,24.0,98.0,514.0
2019-01-05 20:40:56.755115,2599.0,331.0,344.0,24.0,102.0,520.0
2019-01-05 20:45:30.607798,2629.0,334.0,354.0,24.0,102.0,527.0
2019-01-05 20:50:02.363958,2667.0,341.0,361.0,24.0,105.0,533.0
2019-01-05 20:54:34.567494,2711.0,346.0,370.0,24.0,106.0,536.0
2019-01-05 20:59:06.832564,2745.0,349.0,376.0,24.0,110.0,544.0
2019-01-05 21:03:38.399476,2812.0,359.0,383.0,26.0,114.0,551.0
2019-01-05 21:08:10.118378,2874.0,368.0,390.0,26.0,116.0,559.0
2019-01-05 21:12:41.509431,2921.0,372.0,393.0,26.0,116.0,566.0
2019-01-05 21:17:12.979698,2955.0,378.0,403.0,28.0,116.0,569.0
2019-01-05 21:21:44.731191,2988.0,381.0,422.0,30.0,117.0,578.0
2019-01-05 21:26:16.756879,3010.0,385.0,425.0,30.0,118.0,593.0
2019-01-05 21:30:48.300414,3067.0,386.0,432.0,31.0,118.0,607.0
2019-01-05 21:35:19.497146,3120.0,396.0,444.0,31.0,119.0,619.0
2019-01-05 21:39:51.378449,3152.0,399.0,452.0,31.0,120.0,626.0
2019-01-05 21:44:23.205640,3186.0,406.0,461.0,31.0,123.0,632.0
2019-01-05 21:48:55.441070,3211.0,410.0,470.0,31.0,126.0,642.0
2019-01-05 21:53:26.960306,3244.0,413.0,481.0,31.0,127.0,646.0
2019-01-05 21:57:58.322401,3273.0,414.0,489.0,31.0,128.0,649.0
2019-01-05 22:02:29.814385,3323.0,426.0,495.0,32.0,133.0,663.0
2019-01-05 22:07:01.082080,3384.0,433.0,509.0,33.0,135.0,677.0
2019-01-05 22:11:32.569044,3427.0,439.0,514.0,33.0,137.0,693.0
2019-01-05 22:16:03.912581,3460.0,443.0,520.0,33.0,138.0,745.0
2019-01-05 22:20:35.208998,3489.0,448.0,528.0,33.0,142.0,799.0
2019-01-05 22:25:06.948881,3532.0,453.0,531.0,33.0,144.0,845.0
2019-01-05 22:29:39.145810,3564.0,463.0,537.0,33.0,145.0,882.0
2019-01-05 22:34:10.604302,3609.0,467.0,543.0,34.0,146.0,921.0
2019-01-05 22:38:41.905786,3644.0,472.0,550.0,34.0,152.0,953.0
2019-01-05 22:43:13.225770,3674.0,477.0,554.0,34.0,157.0,976.0
2019-01-05 22:47:44.506479,3709.0,480.0,564.0,34.0,160.0,1002.0
2019-01-05 22:52:15.889234,3752.0,484.0,574.0,34.0,165.0,1032.0
2019-01-05 22:56:48.302018,3791.0,486.0,579.0,34.0,166.0,1059.0
2019-01-05 23:01:19.778506,3856.0,497.0,596.0,34.0,166.0,1104.0
2019-01-05 23:05:50.990939,3899.0,506.0,607.0,36.0,170.0,1138.0
2019-01-05 23:10:23.160884,3935.0,508.0,614.0,36.0,173.0,1171.0
2019-01-05 23:14:55.326548,4005.0,513.0,619.0,38.0,173.0,1199.0
2019-01-05 23:19:26.675845,4058.0,514.0,634.0,39.0,175.0,1220.0
2019-01-05 23:23:58.318332,4090.0,518.0,638.0,39.0,175.0,1248.0
2019-01-05 23:28:30.379302,4129.0,521.0,646.0,39.0,176.0,1279.0
2019-01-05 23:33:01.754448,4168.0,526.0,652.0,39.0,177.0,1313.0
2019-01-05 23:37:33.239107,4202.0,531.0,657.0,39.0,180.0,1347.0
2019-01-05 23:42:04.855416,4234.0,532.0,658.0,39.0,183.0,1375.0
2019-01-05 23:46:36.077795,4262.0,534.0,664.0,39.0,184.0,1404.0
2019-01-05 23:51:08.191483,4304.0,541.0,673.0,39.0,185.0,1436.0
2019-01-05 23:55:40.295048,4347.0,544.0,680.0,39.0,185.0,1459.0
2019-01-06 00:00:11.513984,4395.0,548.0,686.0,39.0,186.0,1486.0
